采集日期,日报截屏上送时长（小时）,原始上送时长（小时）,原始上送时长（分钟）,运营端不合格时长（小时）,运营端不合格时长（分钟）,不合格时长占比,数据记录差异,设备ID,采集点,采集点对接人
2025-11-08,8.0,8.07,484.2,1.38,82.7,17.1%,0.07,8f4a,遇见个超市,贺子豪
2025-11-08,6.75,0.0,,,,,-6.75,c12b,东莞,贺子豪
2025-11-09,0.0,0.06,3.7,0.06,3.7,100.0%,0.06,4813,,
2025-11-09,0.0,4.04,242.7,0.17,10.0,4.21%,4.04,4e97,,
2025-11-09,0.0,4.04,242.7,0.1,6.25,2.48%,4.04,4f46,,
2025-11-09,0.0,6.24,374.2,0.47,28.5,7.53%,6.24,8dfb,,
2025-11-09,8.0,7.99,479.4,2.85,170.95,35.67%,-0.01,8f4a,遇见个超市,贺子豪
2025-11-09,0.0,0.01,0.3,0.01,0.3,100.0%,0.01,9712,,
2025-11-09,0.0,5.1,306.0,0.0,0.0,0.0%,5.1,e84e,,
2025-11-10,6.0,5.0,300.3,0.18,11.0,3.6%,-1.0,2ed0,希利,罗圣峰
2025-11-10,8.0,18.98,1138.7,14.64,878.7,77.13%,10.98,4e97,东莞,贺子豪
2025-11-10,0.0,8.12,487.1,0.26,15.75,3.2%,8.12,4f46,,
2025-11-10,0.0,0.02,1.2,0.02,1.2,100.0%,0.02,57ff,,
2025-11-10,0.0,0.96,57.4,0.29,17.4,30.21%,0.96,7437,,
2025-11-10,6.5,6.42,385.2,0.63,37.75,9.81%,-0.08,7cf6,希利,罗圣峰
2025-11-10,8.0,7.99,479.7,1.81,108.7,22.65%,-0.01,8f4a,遇见个超市,贺子豪
2025-11-10,8.0,0.0,,,,,-8.0,c12b,东莞,贺子豪
2025-11-10,6.5,6.12,367.1,1.62,97.5,26.47%,-0.38,d94e,希利,罗圣峰
2025-11-11,5.75,6.34,380.2,2.43,145.6,38.33%,0.59,2ed0,希利,罗圣峰
2025-11-11,6.75,0.0,,,,,-6.75,4ad7,希利,罗圣峰
2025-11-11,7.5,11.49,689.2,0.37,22.0,3.22%,3.99,4e97,东莞,贺子豪
2025-11-11,8.0,8.08,485.1,0.46,27.75,5.69%,0.08,4f46,东莞,贺子豪
2025-11-11,6.0,6.1,366.3,1.17,70.05,19.18%,0.1,57ff,遇见个超市,贺子豪
2025-11-11,6.75,6.96,417.6,1.03,61.6,14.8%,0.21,7cf6,希利,罗圣峰
2025-11-11,0.0,0.06,3.4,0.06,3.4,100.0%,0.06,821e,,
2025-11-11,8.0,8.11,486.8,1.91,114.5,23.55%,0.11,8f4a,遇见个超市,贺子豪
2025-11-11,6.75,6.76,405.9,1.18,70.65,17.46%,0.01,d94e,希利,罗圣峰
2025-11-11,6.75,6.24,374.6,0.89,53.35,14.26%,-0.51,e84e,希利,罗圣峰
2025-11-11,0.0,0.0,0.2,0.0,0.2,,0.0,f061,,
2025-11-11,0.0,0.02,0.9,0.02,0.9,100.0%,0.02,ff7e,,
2025-11-12,0.0,0.58,34.7,0.01,0.8,1.72%,0.58,17fd,,
2025-11-12,6.0,6.04,362.6,0.4,23.75,6.62%,0.04,2ed0,希利,罗圣峰
2025-11-12,5.0,0.0,,,,,-5.0,4ad7,希利,罗圣峰
2025-11-12,6.0,4.1,246.0,0.44,26.5,10.73%,-1.9,4e97,东莞,贺子豪
2025-11-12,8.0,5.86,351.7,0.07,4.25,1.19%,-2.14,4f46,东莞,贺子豪
2025-11-12,8.0,8.13,487.8,3.03,182.0,37.27%,0.13,57ff,遇见个超市,贺子豪
2025-11-12,0.0,0.62,37.2,0.12,7.2,19.35%,0.62,6790,,
2025-11-12,0.0,0.05,3.2,0.05,3.2,100.0%,0.05,7437,,
2025-11-12,6.0,6.41,384.5,0.15,9.0,2.34%,0.41,7cf6,希利,罗圣峰
2025-11-12,8.0,8.23,493.9,3.98,238.9,48.36%,0.23,8f4a,遇见个超市,贺子豪
2025-11-12,0.0,1.01,60.6,0.01,0.3,0.99%,1.01,9712,,
2025-11-12,0.0,1.23,74.0,0.01,0.6,0.81%,1.23,c0e4,,
2025-11-12,6.0,6.2,372.1,0.76,45.6,12.26%,0.2,d94e,希利,罗圣峰
2025-11-12,0.0,0.24,14.2,0.02,1.3,8.33%,0.24,e5fb,,
2025-11-12,6.0,5.95,356.9,0.29,17.5,4.87%,-0.05,e84e,希利,罗圣峰
2025-11-12,0.0,0.19,11.7,0.17,10.0,89.47%,0.19,f061,,
2025-11-13,0.5,0.0,,,,,-0.5,17fd,丰县,江伊潭
2025-11-13,6.0,6.23,373.6,0.07,4.5,1.12%,0.23,2ed0,希利,罗圣峰
2025-11-13,6.0,0.0,,,,,-6.0,4ad7,希利,罗圣峰
2025-11-13,8.0,13.33,799.8,3.55,212.95,26.63%,5.33,4e97,东莞,贺子豪
2025-11-13,7.15,5.94,356.6,0.22,13.0,3.7%,-1.21,4f46,东莞,贺子豪
2025-11-13,8.0,2.46,147.5,0.31,18.5,12.6%,-5.54,57ff,遇见个超市,贺子豪
2025-11-13,0.0,0.68,40.7,0.07,3.95,10.29%,0.68,6790,,
2025-11-13,0.0,0.0,0.1,0.0,0.1,,0.0,7437,,
2025-11-13,6.0,6.23,373.7,1.42,85.35,22.79%,0.23,7cf6,希利,罗圣峰
