原始日期,原始设备ID,标准日期,标准设备ID,来源表,需要检查
2025/11/13,4e97,2025-11-13,4e97,表1,True
2025/11/14,8f4a,2025-11-14,8f4a,表1,True
2025/11/14,57ff,2025-11-14,57ff,表1,True
2025/11/14,4f46,2025-11-14,4f46,表1,True
2025/11/14,4e97,2025-11-14,4e97,表1,True
2025/11/15,8f4a,2025-11-15,8f4a,表1,True
2025/11/15,57ff,2025-11-15,57ff,表1,True
2025/11/15,4f46,2025-11-15,4f46,表1,True
2025/11/15,4e97,2025-11-15,4e97,表1,True
2025/11/14,0fe4,2025-11-14,0fe4,表1,True
2025/11/16,8f4a,2025-11-16,8f4a,表1,True
2025/11/16,57ff,2025-11-16,57ff,表1,True
2025/11/17,8f4a,2025-11-17,8f4a,表1,True
2025/11/17,57ff,2025-11-17,57ff,表1,True
2025/11/17,4f46,2025-11-17,4f46,表1,True
2025/11/17,4e97,2025-11-17,4e97,表1,True
2025/11/17,0fe4,2025-11-17,0fe4,表1,True
2025/11/18,8f4a,2025-11-18,8f4a,表1,True
2025/11/18,57ff,2025-11-18,57ff,表1,True
2025/11/18,4f46,2025-11-18,4f46,表1,True
2025/11/18,4e97,2025-11-18,4e97,表1,True
2025/11/18,0fe4,2025-11-18,0fe4,表1,True
2025/11/18,f016,2025-11-18,f016,表1,True
2025/11/19,8f4a,2025-11-19,8f4a,表1,True
2025/11/19,57ff,2025-11-19,57ff,表1,True
2025/11/19,4f46,2025-11-19,4f46,表1,True
2025/11/19,4e97,2025-11-19,4e97,表1,True
2025/11/19,0fe4,2025-11-19,0fe4,表1,True
2025/11/20,6790,2025-11-20,6790,表1,True
2025/11/20,57ff,2025-11-20,57ff,表1,True
2025/11/20,4f46,2025-11-20,4f46,表1,True
2025/11/20,4e97,2025-11-20,4e97,表1,True
2025/11/20,0fe4,2025-11-20,0fe4,表1,True
2025/11/20,f016,2025-11-20,f016,表1,True
2025/11/21,6790,2025-11-21,6790,表1,True
2025/11/21,57ff,2025-11-21,57ff,表1,True
2025/11/21,4f46,2025-11-21,4f46,表1,True
2025/11/21,4e97,2025-11-21,4e97,表1,True
2025/11/21,0fe4,2025-11-21,0fe4,表1,True
2025/11/21,f016,2025-11-21,f016,表1,True
2025/11/22,6790,2025-11-22,6790,表1,True
2025/11/22,57ff,2025-11-22,57ff,表1,True
2025/11/22,4f46,2025-11-22,4f46,表1,True
2025/11/22,4e97,2025-11-22,4e97,表1,True
2025/11/23,6790,2025-11-23,6790,表1,True
2025/11/23,57ff,2025-11-23,57ff,表1,True
2025/11/24,6790,2025-11-24,6790,表1,True
2025/11/24,57ff,2025-11-24,57ff,表1,True
2025/11/24,4f46,2025-11-24,4f46,表1,True
2025/11/24,4e97,2025-11-24,4e97,表1,True
2025/11/24,0fe4,2025-11-24,0fe4,表1,True
2025/11/24,f016,2025-11-24,f016,表1,True
2025/11/25,6790,2025-11-25,6790,表1,True
2025/11/25,57ff,2025-11-25,57ff,表1,True
2025/11/25,4f46,2025-11-25,4f46,表1,True
2025/11/25,4e97,2025-11-25,4e97,表1,True
2025/11/25,0fe4,2025-11-25,0fe4,表1,True
2025/11/25,f016,2025-11-25,f016,表1,True
2025/11/26,6790,2025-11-26,6790,表1,True
2025/11/26,57ff,2025-11-26,57ff,表1,True
2025/11/26,4f46,2025-11-26,4f46,表1,True
2025/11/26,4e97,2025-11-26,4e97,表1,True
2025/11/26,f016,2025-11-26,f016,表1,True
2025/11/27,6790,2025-11-27,6790,表1,True
2025/11/27,57ff,2025-11-27,57ff,表1,True
2025/11/27,4f46,2025-11-27,4f46,表1,True
2025/11/27,4e97,2025-11-27,4e97,表1,True
2025/11/27,0fe4,2025-11-27,0fe4,表1,True
2025/11/27,f016,2025-11-27,f016,表1,True
2025/11/28,6790,2025-11-28,6790,表1,True
2025/11/28,57ff,2025-11-28,57ff,表1,True
2025/11/28,4f46,2025-11-28,4f46,表1,True
2025/11/28,4e97,2025-11-28,4e97,表1,True
2025/11/29,6790,2025-11-29,6790,表1,True
2025/11/29,57ff,2025-11-29,57ff,表1,True
2025/11/30,6790,2025-11-30,6790,表1,True
2025/11/30,57ff,2025-11-30,57ff,表1,True
2025/12/1,4f46,2025-12-01,4f46,表1,True
2025/12/1,4e97,2025-12-01,4e97,表1,True
2025/12/1,0fe4,2025-12-01,0fe4,表1,True
2025/12/2,4f46,2025-12-02,4f46,表1,True
2025/12/2,4e97,2025-12-02,4e97,表1,True
2025/12/2,0fe4,2025-12-02,0fe4,表1,True
2025/12/3,4f46,2025-12-03,4f46,表1,True
2025/12/3,4e97,2025-12-03,4e97,表1,True
2025/12/3,0fe4,2025-12-03,0fe4,表1,True
2025/12/4,4f46,2025-12-04,4f46,表1,True
2025/12/4,4e97,2025-12-04,4e97,表1,True
2025/12/4,0fe4,2025-12-04,0fe4,表1,True
2025/12/5,4f46,2025-12-05,4f46,表1,True
2025/12/5,0fe4,2025-12-05,0fe4,表1,True
2025/12/6,4f46,2025-12-06,4f46,表1,True
2025/12/6,4e97,2025-12-06,4e97,表1,True
2025/12/8,4f46,2025-12-08,4f46,表1,True
